btCode,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
A01SA,A056M; A056R; A0C9L; A16HM,A069F; A069H; A069N; A0BYZ,A06HZ,,,,,,,,,,,,,,,,A07PR,,A07RV; A07RX; A07RY; A0C6Y; A07RZ; A07SD,,A07TD,,,A07XD,A01SA,A07HS; A07KP; A07KQ; A0C0S; A07KT; A07JK,,,,A0C9A; A0C8Z,A0C3M
A01SB,A056P,A069H; A0BYZ,A06HZ,,,,,,,,,,,,,,,A07NY,A07PR,,A07RV; A07RY; A0C6Y; A07SD,,,,,A07XD,,A07HS; A0C0S; A07KP; A07KQ,,,A0C8V,A0C8Z; A0C9A,
A01SC,A0CEM,A069H,,,,,,,,,,,,,,,,,,A0F4T,A07RV; A07RX; A07RY; A0C6Y,,,,,A07XD,A01SC,A0C0S,,,A0C8S; A0C8V,A0C8Z; A0C9A,
A01SE,A056N,A069H; A0BYZ,,,,,,,,,,,,,,,,,,A0F4T,A07RY; A0C6Y,,,,,,,,,,A0C8S; A0C8V,A0C8Z; A0C9A,
A01SF,A056Q,A069H,,,,,,,,,,,,,,,,,,A0F4T,A07RV; A0C6Y,,,,,,A01SF,,,,A0C8S,A0C8Z; A0C9A,
A01SG,A056M; A056P; A056R,A07XQ; A069H; A0BYZ,A06JB; A06HZ; A06JA,,,,,,,,,,,,,,,A07NY,A07PQ; A07PR,,A07RY,,,,,A07XD,,A07HS; A0C0S,,,A0C8S; A0C8V,A0C8Z; A0C9A,A0C3M
A01SH,A056Y,A069H; A0BYZ,A06HZ; A06HY,A01SH,,,,,,,,,,,,,,A07NY,A07PR; A07PT; A07PL; A07PN,A07QM,A07RV; A07RX; A07RY; A07SE; A0C6Y,,A07TD,A07VQ,,A07XD,A01SH,A07HS; A0BA1; A0C0S; A07KT; A07JK; A07KP; A07KQ; A07KY,,,A0C8X,A0C8Z; A0C9A,
A01SJ,A056X; A058B,A0BYZ; A069H,A06HZ,,,,,,,,,,,,,,,A07NY,A07PR; A07PQ,,A07RY,,A07TD,,,,A01SJ,A07HS; A0C0S,,,,A0C8Z; A0C9A,
A01SL,A056V,A069H,A06HZ,,,,,,,,,,,,,,,,,A07QM,A07RV; A07RY,,,,,,,A07HS,,,,,
A01SM,,,,,,,,,,,,,,,,,,,,,A07RY,,,,,,,,,,,,
